BIOMASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB Yt,10075,6754.68,9711.25,9967.5,17989.3,14033.3,13853.1,18843.1,19417,37312.7,27484.4,44594.4,42268.5,69589.1,46608.7,51819.9,43076.2,51130.5,69109.9,69583,83444,65742.6,54846.2,78178.7,75019.8,69420.5,101499.1,104306.6,109369.6,100239.4,77899.6
GB Cod,23482,24631.6,16770.5,20311.5,16392.7,16285.1,18987.4,13071,13746.6,13030.7,12411.2,13155.6,10619.6,13575.6,13885.3,9399.1,10242.72,9263.39,8061.55,9649.11,6403.99,6915.79,6786.33,5692.88,5032.47,5857.89,4336.84,3633.95,3910.82,3584.04,3268.22
GB Haddock,353725,242392,275577,156056,250938,198283,136160,145665,190810,180216,147613,183825,137525,164601,126789,96030,95708,98191.1,93081.8,92419.9,94532.3,74888.6,67137.2,55551.9,64781.1,78352.3,43309.2,46059.2,57015.4,54844.2,43696.9
GB Winter Fl,5032,6671.32,9549.55,11290.57,12388.8,14481.9,29741.8,28208.1,49638.7,46411.8,85494.5,94389.8,63508.6,66441.1,110863,117128,125980,103151,89456,86325,72194,159806,167539,86046,151124,158003,86959,141989,153570,139978,97319
GOMGB Windowpane,4493,7357.44,9343.24,14708.2,13290.9,16356.7,22587.4,20833.9,24593.3,23671.5,20928.3,28075.4,48401.5,30996.5,50050,55086.1,44293.9,79868.7,84066.4,70705.7,69542.6,86206.3,107383.6,111223.7,100285.5,121164.1,65944.6,61336.4,120080.8,66701,112695.2
GB Redfish,53742.8,11060.6,9373.71,3394.49,1400.86,720.365,267.155,105.3838,32.7897,20.2045,6.22712,1.02171,0.25692,-0.479936,0.214072,1.0877,-0.9642205,0.0145456,-1.99410435,1.00238359,1.000961574,0.000387172,0.000155629,1.0000624633,2.50364999999642E-005,1.00230999999784E-005,-0.9999959917,1.60136999993732E-006,6.3922E-007,-0.999999745,-0.9999998984
GB Herring,405018,307425,102444,145720,184424,238346,223466,37854,107981,148108,199567,173880,192849,100178,125065,35371,77724,48002,108597,70355,129662,65277,99438,60676,169923,165733,97894,36471,155740,168506,146507
GB Mackerel,24730,97538.6,102356.8,67457,72368,84314,78475.4,101580.4,80663.2,51003.1,54694.9,113745.1,30371.3,112285.7,66493.1,84066.3,53041.7,51697.5,58551.4,22226,17836.9,35256.4,69413.7,68854.6,26363.7,71966.9,50171.3,70603.7,103788.3,32803.2,89413.6
GB Skates,47778,50180.2,36901.7,42336.7,25879.8,26360.6,27991.4,22731.9,15217.3,22141.2,22775.3,17551,12221.3,11036,10076.2,8713.36,8012.98,5752.81,9725.67,5793.05,5200.93,4398.52,5739.09,5082.85,5216.8,3420.63,2376.65,2975.7,2078.07,2011.46,1855.96
GB Spiny Dogs,34080,31808.2,22858.9,24773.5,31514.8,25543.4,19063.7,17310.9,13862.2,11824.2,12241.9,8296.9,10223.95,9237.78,8591.9,4636.95,5073.42,5314.33,3988.99,5095.82,3803.17,4054.23,4101.85,2817.51,2441.22,2390.43,1730,2209.15,1976.4,1847.53,1517.58
,962155.8,785819.64,594886.65,496015.46,626587.16,634724.365,570593.355,406203.6838,515962.0897,533739.4045,583216.72712,677514.22171,547989.00692,577940.300064,558422.414072,462251.7977,463151.9557795,452371.3445456,524636.71589565,432153.58238359,482620.890961574,502545.440387172,582384.970155629,474125.140062463,600187.590025037,676308.750010023,454219.690004008,469584.700001601,707529.390000639,570513.830000255,574172.060000102
CATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB Yt,1600,1688.622,1876.74,2164.32,2549.16,3037.78,3638.32,4356.1,5188.98,6123.34,7131.48,8172.96,9201.1,10173.6,11062.66,11859.34,12570.4,13210.9,13797.04,14342.16,14855.38,15342.08,15804.92,16244.86,16661.96,17055.94,17426.46,17773.44,18096.98,18397.52,18675.74
GB Cod,4512.6,3879.7,3398.96,3014.92,2698,2429.76,2197.8,1993.336,1809.886,1642.658,1488.166,1344.048,1208.934,1082.308,964.262,855.202,755.522,665.38,584.612,512.772,449.214,393.198,343.962,300.762,262.904,229.76,200.76,175.3972,153.2234,133.8422,116.9056
GB Haddock,63200,53581.2,47298.8,42764,39270,36438.4,34042,31932,30004.8,28186.6,26426.4,24693.6,22977.6,21284.2,19632.16,18045.74,16547.18,15151.9,13867.14,12692.96,11624.5,10654.28,9773.76,8974.28,8247.68,7586.54,6984.12,6434.48,5932.34,5473.04,5052.4
GB Winter Fl,860.2,1097.096,1421.468,1870.556,2477.68,3284.04,4334.64,5670.92,7318.32,9269.18,11465.56,13791.42,16086.08,18182.22,19953.96,21348,22381.6,23115.4,23622.4,23969,24206.2,24370.4,24485.8,24569,24630.2,24676.4,24712,24740.4,24763.2,24782.4,24798.4
GOMGB Windowpane,1457.6,1634.74,1907.098,2288.38,2785.76,3413.58,4187.66,5120.56,6216.58,7466.34,8842.6,10299.62,11777.88,13214.46,14555.2,15763.66,16823.38,17734.24,18506.4,19155.04,19696.68,20147.4,20521.6,20832.2,21090.2,21305,21484.6,21635.4,21762.6,21870.8,21963.6
GB Redfish,8009.76,3335.84,1424.996,615.33,266.948,115.9918,50.3866,21.8526,9.4512,4.07176,1.745534,0.743898,0.314938,0.1324022,0.0552774,0.022929,0.00945674,0.0038816,0.001587016,0.000646822,0.00026296,0.0001066852,4.32102E-005,1.74765E-005,0.00000706,2.84906E-006,1.14872E-006,4.62792E-007,1.863184E-007,0.000000075,3.01458E-008
GB Herring,41880,35323.2,31983.4,29967.6,28646.6,27737.8,27091.6,26621.6,26273.6,26012.4,25813.6,25660.8,25542,25448.6,25374.6,25315,25266.8,25227,25194.2,25166.4,25143,25122.8,25105.4,25090.2,25076.8,25065,25054.4,25045,25036.4,25028.8,25022
GB Mackerel,15520,15116.74,15029.52,15088.88,15228.42,15414.42,15627.18,15854.22,16087.18,16320.3,16549.54,16772.08,16985.98,17189.94,17383.16,17565.24,17736,17895.54,18044.1,18182,18309.68,18427.64,18536.4,18636.48,18728.46,18812.86,18890.2,18961.02,19025.78,19084.96,19139
GB Skates,12136.6,10781.88,9616.36,8606,7724.44,6950.9,6268.84,5664.84,5127.94,4649.12,4220.8,3836.66,3491.32,3180.2,2899.4,2645.5,2415.6,2207.12,2017.84,1845.782,1689.228,1546.642,1416.666,1298.094,1189.848,1090.964,1000.58,917.92,842.286,773.052,709.648
GB Spiny Dogs,8000,7132.36,6381.02,5726.02,5151.64,4645.46,4197.38,3799.24,3444.24,3126.74,2842.04,2586.14,2355.62,2147.58,1959.49,1789.178,1634.748,1494.54,1367.098,1251.138,1145.528,1049.258,961.436,881.264,808.024,741.082,679.86,623.842,572.564,525.604,482.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOMASS MULTIPLIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB Yt,95.4993349876,116.33706408,61.2574745785,49.7632766491,34.8311029334,45.2298721612,41.1888570067,21.5571579942,26.5726986507,14.3044969809,21.2199184672,15.1928094494,12.9644772566,8.3050405892,11.9810767962,8.9203529474,10.7519223093,8.8473874604,7.5913395316,6.210620157,5.7837698452,7.6441369886,10.6185108568,6.0646332065,8.0003890976,9.7422051125,4.4751105183,4.5019653598,6.4691595288,5.6915128183,7.3706676286
GB Cod,40.9741844817,31.9029068351,35.4722071495,24.4204248825,38.2235482867,38.9757732529,30.0511578731,31.0767105654,37.5337966988,40.9601483036,46.9911633944,51.5000624609,51.6016617311,42.5719894564,40.2168058358,49.1804319243,45.2176722374,48.8343192444,65.0788887864,44.7868852551,75.3625303852,72.6663823493,85.8173666998,83.2838809289,119.2630239276,115.4526203138,104.7351735374,129.2215633131,180.9158667493,159.1817697348,175.683417885
GB Haddock,2.7200672839,3.2419371926,2.1586948475,3.1784453017,2.4969799711,3.2011032968,4.1906092465,2.788615548,2.7040621021,2.961664916,3.9509848531,3.6856478809,3.9846501139,3.5111591063,4.4043443364,4.8136186369,4.83921883,4.6070503798,5.6362974921,4.6759797661,5.1053543705,6.7105733101,8.6745495814,8.5348141119,9.2648564168,8.631638765,10.4878337629,10.1952422101,12.4094435889,10.4024460198,13.1398808611
GB Winter Fl,191.2074324324,117.7907280718,62.2947311653,43.9318351509,50.5769049464,43.8288045767,19.1848965093,14.4002497084,10.3943513771,11.5000798181,6.8216870924,7.1778330043,8.6285795454,8.6985359975,5.0370494581,3.9465524699,3.6763927273,4.3855255358,5.8647459745,5.0061231669,6.6850554196,3.1447219778,3.4761158307,5.5101357421,3.9714908951,4.2803538541,5.2233775688,3.3071906979,4.6072109787,4.075739259,5.8998968341
GOMGB Windowpane,214.1455152459,106.8061227818,63.6702739093,33.7237364191,47.1440730124,38.8051602707,25.2615774724,19.4972464973,20.9797826928,22.5477643791,27.867372272,24.1319525887,11.3217360396,18.645340605,11.1572909904,8.3914417194,10.4563372333,5.6639377446,6.2407420312,6.112004865,6.9399316529,5.8295674491,5.4234070208,4.2628067585,5.9847893267,5.5817585408,6.8878981752,7.6558894882,5.8921108953,8.5533024992,5.0949114071
GB Redfish,17.9029711887,71.0467461078,63.4633085513,146.1237063594,447.2874948246,881.1149417309,2135.8138720967,3854.5173337838,15735.4928437894,26416.8578534485,93657.5378537751,663117.931418896,2132916.88821423,-1204202.85218029,2608572.88235734,424980.966902639,-480338.217015195,31100218.9353206,-263093.91276121,431125.954868824,482157.261075413,1297990144.91558,3742136556.52651,474095.526491363,23972503745.5673,67475007733.2841,-454221.510646463,293239351317.923,1106863661964.02,-570513.975456787,-574172.118346898
GB Herring,2.3755877517,2.5561344718,5.8069447698,3.4038941806,3.3975358955,2.6630376218,2.5533788362,10.7307994875,4.7782673776,3.6037175878,2.9224106547,3.8964470998,2.8415444566,5.7691339422,4.4650574827,13.0686663566,5.9589310352,9.4240103443,4.8310424404,6.1424715,3.7221459715,7.6986601772,5.8567647193,7.8140474003,3.5321150758,4.0807126523,4.6399134779,12.8755641469,4.5430165019,3.385718194,3.9190759486
GB Mackerel,38.9064213506,8.0564990681,5.8118918333,7.3530613576,8.6583456776,7.5281016794,7.2709837095,3.9988391835,6.3964991434,10.4648424213,10.6630915701,5.9564255666,18.0429881803,5.1470516732,8.3982009272,5.4986575798,8.7318459963,8.750352426,8.9602762,19.4436057943,27.0574422103,14.254020274,8.3900580167,6.8858891064,22.7656812217,9.3974973218,9.0533769307,6.650992795,6.8170438286,17.3920175471,6.421529387
GB Skates,20.1380509858,15.6599543246,16.1208467361,11.7159688875,24.2114374918,24.0785249577,20.3845950899,17.8693238929,33.906283618,24.1061642775,25.6074223883,38.6025993795,44.8388474974,52.3686390054,55.4199414533,53.0509238342,57.8002136258,78.6348488036,53.9435037273,74.5986280774,92.7951137511,114.2533034719,101.476883993,93.2793885443,115.0489936407,197.7146753697,191.1176193398,157.8064657061,340.4742814249,283.6317053286,309.3666135047
GB Spiny Dogs,28.2322711268,24.704938978,26.0242903202,20.022017882,19.8823143412,24.8488597837,29.9308819904,23.4651972919,37.220793936,45.1395785339,47.6410301604,81.6587185226,53.5985609202,62.562682816,64.9940541757,99.6887604352,91.2898904052,85.1229307449,131.5211910523,84.8055038019,126.8996366088,123.9558289459,141.981050052,168.2780682455,245.8555927057,282.9234698402,262.5547341064,212.5635199066,357.9889647848,308.7981413023,378.3471447964
